window_size,threshold_pure,threshold_crf,sens. URF,sens. PURE/CRF
400,20,26,0.4335296592,0.9110126582
300,34,24,0.4249053429,0.9769620253
200,20,38,0.5903449727,0.9196835443
300,30,28,0.4499368952,0.9846202532
75,36,20,0.2088767354,0.9862658228
75,32,36,0.1396718553,1
200,36,24,0.4441522928,0.9836708861
400,32,20,0.3703197308,0.9551265823
100,22,28,0.5633151031,0.9830379747
75,36,28,0.093079512,1
300,24,34,0.4916912074,0.9611392405
200,26,22,0.5425957089,0.9644303797
200,34,34,0.4535128313,0.9955696203
300,18,34,0.5366007573,0.8687341772
100,30,32,0.3417122423,0.9993037975
100,38,24,0.206142196,0.9948734177
400,32,30,0.3559108119,0.9861392405
50,34,38,0.0090450147,1
50,30,32,0.0358645351,1
400,18,22,0.4518300379,0.8739240506
75,28,18,0.3795750947,0.9565189873
200,36,22,0.4515145141,0.9717088608
50,24,36,0.1776398822,0.9999367089
50,20,18,0.4194362642,0.9835443038
100,18,36,0.6560790913,0.9043670886
50,34,32,0.0126209508,1
75,34,28,0.1195835086,1
300,30,20,0.4645561632,0.9457594937
200,34,22,0.4702355911,0.9715189873
400,32,38,0.355384939,0.9887341772
50,20,28,0.3629575095,0.9979113924
50,28,24,0.0935002103,1
75,22,18,0.5239798065,0.952721519
75,20,26,0.5470130416,0.982278481
50,26,20,0.1929953723,0.9976582278
200,30,30,0.495898191,0.9924683544
400,18,34,0.4449936895,0.8867088608
300,34,28,0.4208035339,0.9882911392
200,24,26,0.553323517,0.9691772152
50,36,32,0.0090450147,1
50,18,18,0.5015776188,0.9696835443
300,24,22,0.4992637779,0.9414556962
200,34,24,0.4632940682,0.9834810127
100,28,18,0.4788599074,0.9323417722
75,18,38,0.6126419857,0.9444936709
50,18,28,0.4693941944,0.9860759494
100,22,24,0.5657341186,0.9796835443
200,32,20,0.4983172066,0.9470253165
75,38,18,0.2472654607,0.9565189873
50,18,22,0.4779133361,0.9824050633
300,36,24,0.412810265,0.9774050633
300,26,28,0.4788599074,0.9716455696
400,26,34,0.39230122,0.9693037975
400,28,24,0.3868321414,0.9655063291
400,18,36,0.4449936895,0.8870886076
100,28,32,0.4027135044,0.9991139241
200,38,34,0.4082877577,0.9958860759
200,38,28,0.4138620109,0.9927848101
50,26,36,0.109486748,1
100,24,32,0.5138830459,0.9956329114
100,38,26,0.1877366428,0.9975949367
200,20,22,0.5949726546,0.9037974684
75,32,20,0.2604122844,0.9862658228
50,30,20,0.1413546487,0.997721519
300,24,36,0.4915860328,0.9617088608
100,30,38,0.3390828776,0.9998734177
400,18,28,0.4459402608,0.8843670886
400,32,18,0.3771560791,0.9378481013
100,22,36,0.5606857383,0.9853797468
400,18,26,0.4463609592,0.8820886076
400,26,20,0.40513252,0.9406329114
75,30,28,0.2017248633,0.9999367089
400,30,26,0.3697938578,0.9776582278
75,32,38,0.1390408077,1
200,36,20,0.4601388305,0.9475316456
400,20,18,0.4469920067,0.880443038
50,32,36,0.0172486327,1
200,20,20,0.5999158603,0.8872151899
400,20,24,0.4370004207,0.9067088608
50,26,24,0.1316785865,0.9999367089
200,22,38,0.5713083719,0.9543670886
200,38,24,0.4206983593,0.9836708861
300,38,34,0.3921960454,0.9935443038
75,22,36,0.473075305,0.9960759494
400,22,26,0.4199621371,0.9333544304
50,34,24,0.049747581,1
300,30,38,0.4488851493,0.9894303797
75,26,36,0.3234118637,0.9999367089
100,30,36,0.3393984013,0.9998734177
400,22,34,0.4183845183,0.9386708861
75,30,34,0.1892090871,0.9999367089
75,18,30,0.6131678586,0.943164557
50,22,34,0.262305427,0.9997468354
75,24,18,0.4704459403,0.9557594937
200,30,32,0.4952671435,0.9932278481
300,20,28,0.5214556163,0.9084810127
400,34,36,0.3441312579,0.9903797468
400,26,28,0.3937736643,0.9663291139
400,34,18,0.3660075726,0.9390506329
75,18,32,0.6128523349,0.9437341772
75,36,24,0.1348338241,0.998164557
200,22,20,0.5820361801,0.9169620253
200,28,22,0.5267143458,0.9687341772
75,32,34,0.1410391249,0.9999367089
400,36,22,0.3459192259,0.9690506329
200,24,34,0.5518510728,0.9741772152
75,36,32,0.0746739588,1
50,26,26,0.1192679849,0.9999367089
300,20,22,0.5278712663,0.8955696203
50,36,18,0.185633151,0.9862025316
75,38,20,0.1932057215,0.9862658228
100,20,38,0.6088557005,0.9620253165
300,22,32,0.5071518721,0.9398734177
300,30,24,0.4526714346,0.9739240506
200,18,20,0.6157972234,0.8341772152
100,18,30,0.6566049642,0.9020253165
75,38,24,0.1166386201,0.998164557
75,20,22,0.5537442154,0.9781012658
300,38,32,0.3925115692,0.9925949367
75,34,18,0.2812368532,0.9565189873
100,38,18,0.3024821203,0.9325316456
75,18,36,0.6126419857,0.9444303797
50,38,26,0.0259781237,1
200,28,26,0.5195624737,0.9852531646
300,38,26,0.3954564577,0.985
100,20,32,0.609486748,0.9605696203
200,26,32,0.5348127892,0.9851898734
400,38,28,0.3265671014,0.9880379747
400,20,30,0.432057215,0.9146835443
50,22,28,0.2638830459,0.9996202532
75,34,38,0.0958140513,1
200,22,24,0.5729911653,0.945
300,24,28,0.4924274295,0.958164557
100,34,32,0.2373790492,0.9993670886
200,22,22,0.5765671014,0.9365822785
100,30,28,0.3526503997,0.9982278481
300,26,20,0.4911653345,0.9361392405
100,26,22,0.4788599074,0.9884810127
50,38,22,0.0737273875,0.9996835443
300,36,34,0.4070256626,0.9932278481
300,22,30,0.5072570467,0.9391772152
75,22,32,0.4734960034,0.9956329114
200,28,32,0.5165124106,0.9910126582
300,20,36,0.5208245688,0.9121518987
75,24,32,0.3959823307,0.9991139241
75,38,26,0.0904501472,0.9998734177
200,22,28,0.5722549432,0.950443038
200,32,28,0.4792806058,0.9919620253
75,36,30,0.0821413546,1
400,38,36,0.324358435,0.9924050633
200,18,30,0.6079091292,0.8577848101
75,34,34,0.0996003366,1
200,38,32,0.4103912495,0.9953797468
200,26,38,0.5343920909,0.9869620253
75,18,28,0.6136937316,0.9425949367
300,18,24,0.5384938999,0.8603164557
