id	background	insert	window_size	stepping_size	start_pos
0	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2085
1	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2185
2	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2285
3	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2385
4	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2485
5	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2585
6	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2685
7	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2785
8	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2885
9	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	2985
10	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3085
11	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3185
12	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3285
13	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3385
14	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3485
15	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3585
16	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3685
17	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3785
18	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3885
19	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	3985
20	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4085
21	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4185
22	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4285
23	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4385
24	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4485
25	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4585
26	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4685
27	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4785
28	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4885
29	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.F2.CM.02.02CM_0016BBY.AY371158	100	100	4985
30	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2085
31	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2185
32	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2285
33	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2385
34	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2485
35	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2585
36	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2685
37	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2785
38	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2885
39	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	2985
40	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3085
41	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3185
42	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3285
43	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3385
44	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3485
45	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3585
46	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3685
47	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3785
48	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3885
49	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	3985
50	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4085
51	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4185
52	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4285
53	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4385
54	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4485
55	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4585
56	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4685
57	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4785
58	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4885
59	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.D.CD.83.ELI.K03454	100	100	4985
60	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2085
61	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2185
62	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2285
63	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2385
64	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2485
65	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2585
66	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2685
67	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2785
68	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2885
69	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	2985
70	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	3085
71	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	3185
72	Ref.A1.AU.03.PS1044_Day0.DQ676872	Ref.C.BR.92.BR025_d.U52953	100	100	3285
