name,length,assignment,support,begin,end,type,pure,pure_support,pure_inner,pure_outer,scan_best_support,scan_assigned_support,scan_assigned_nosupport,scan_best_profile,scan_assigned_profile,crf,crf_support,crf_inner,crf_outer,crfscan_best_support,crfscan_assigned_support,crfscan_assigned_nosupport,crfscan_best_profile,crfscan_assigned_profile,major_id,minor_id
"1718",3015,"HIV-1 Subtype F (F1)",100.0,2084,5096,HIV 1,F1,100.0,86.0,14.0,1.0,1.0,0.0,F1,F1,F1,99.0,95.0,5.0,,,,,,F1,F1
"625",3009,"HIV-1 Subtype D",100.0,2084,5096,HIV 1,D,100.0,169.0,0.0,0.959,0.816,0.184,D A1 D A1 D K D K D,D -,D,100.0,167.0,0.0,,,,,,D,D
"799",3009,"HIV-1 Subtype D",100.0,2084,5096,HIV 1,D,100.0,171.0,0.0,0.986,0.918,0.082,D B D K D,D -,D,99.0,172.0,0.0,,,,,,D,D
"1615",3015,"HIV-1 Subtype F (F1)",100.0,2084,5096,HIV 1,F1,100.0,99.0,0.0,1.0,1.0,0.0,F1,F1,F1,100.0,100.0,0.0,,,,,,F1,F1
"798",3009,"HIV-1 Subtype D",100.0,2084,5096,HIV 1,D,100.0,162.0,0.0,0.918,0.816,0.177,D J D J D B D K D,D - J - D - D -,D,100.0,168.0,0.0,,,,,,D,D
"1524",3015,"HIV-1 Subtype F (F1)",100.0,2084,5096,HIV 1,F1,100.0,98.0,0.0,0.993,0.946,0.054,F1 A1 F1,F1 - F1 - F1,F1,99.0,100.0,0.0,,,,,,F1,F1
"1948",3008,"HIV-1 Subtype K",100.0,2084,5096,HIV 1,K,100.0,100.0,0.0,1.0,1.0,0.0,K,K,K,100.0,100.0,0.0,,,,,,K,K
"690",2994,"HIV-1 Subtype D",100.0,2084,5096,HIV 1,D,100.0,169.0,0.0,0.959,0.864,0.136,A1 D A1 D,- D -,D,98.0,172.0,0.0,,,,,,D,D
"1525",3015,"HIV-1 Subtype F (F1)",100.0,2084,5096,HIV 1,F1,100.0,98.0,0.0,1.0,0.973,0.027,F1,F1 - F1 - F1 - F1,F1,98.0,99.0,0.0,,,,,,F1,F1
"1942",3010,"HIV-1 Subtype K",100.0,2084,5096,HIV 1,K,100.0,100.0,0.0,1.0,1.0,0.0,K,K,K,100.0,100.0,0.0,,,,,,K,K
"1943",3008,"HIV-1 Subtype K",100.0,2084,5096,HIV 1,K,100.0,100.0,0.0,1.0,1.0,0.0,K,K,K,100.0,100.0,0.0,,,,,,K,K
"1940",3008,"HIV-1 Subtype K",100.0,2084,5096,HIV 1,K,100.0,100.0,0.0,1.0,1.0,0.0,K,K,K,100.0,100.0,0.0,,,,,,K,K
"1941",3007,"HIV-1 Subtype K",100.0,2084,5096,HIV 1,K,100.0,100.0,0.0,1.0,1.0,0.0,K,K,K,100.0,100.0,0.0,,,,,,K,K
