id	name	subtype_lanl
89143	01_AE.CN.2007.07CN_HN038.FM251980	01_AE
34540	01_AE.SG.2003.BAA161402.AY870215	01_AE
78824	01_AE.DE.2005.3839.FJ183577	01_AE
78104	01_AE.VN.2007.07VNHPA2_477c.FJ007111	01_AE
78117	01_AE.VN.2007.07VNHPA39c.FJ007124	01_AE
78218	01_AE.VN.2007.07VNHPA233g.FJ007225	01_AE
57039	01_AE.CN.-.fj62.EF432692	01_AE
141810	01_AE.CN.2010.YN10DH0130.JQ658750	01_AE
126437	01_AE.TH.2010.IN_0804236.JF928985	01_AE
134719	01_AE.KH.2006.Q0208194.JN675719	01_AE
143465	01_AE.CN.2010.2810.JQ901028	01_AE
134732	01_AE.KH.2009.T0929127.JN675732	01_AE
2298	01_AE.PH.2011.11117492.AB747499	01_AE
126337	01_AE.TH.2010.IN_0700216.JF928884	01_AE
151100	01_AE.TH.2007.AA061a04L.JX447377	01_AE
104030	01_AE.TH.2005.FD0346IN.GU345051	01_AE
150937	01_AE.TH.2006.AA035a06L.JX447101	01_AE
135499	01_AE.CN.2011.GZ165.JN848900	01_AE
150739	01_AE.TH.2006.AA003b16L.JX446687	01_AE
149397	01_AE.AT.2006.EHR-560688.JX300471	01_AE
151082	01_AE.TH.2008.AA057a14R.JX447337	01_AE
78198	01_AE.VN.2007.07VNHPA195.FJ007205	01_AE
151074	01_AE.TH.2008.AA057a05R.JX447329	01_AE
150940	01_AE.TH.2006.AA035a08R.JX447109	01_AE
151211	01_AE.TH.2007.AA080a11L.JX447605	01_AE
136217	01_AE.CN.2010.10CNgx1400.JQ028376	01_AE
126240	01_AE.CN.2007.BJ07537.JF906663	01_AE
34506	01_AE.SG.2003.BAA157676.AY870181	01_AE
78282	01_AE.VN.2007.07VNHPA347.FJ007289	01_AE
96334	01_AE.JP.2007.07JPNG313.GQ332172	01_AE
159673	01_AE.AU.2005.9012740.KC238227	01_AE
1466	01_AE.VN.2007.NI0312.AB545848	01_AE
151138	01_AE.TH.2005.AA066a01L.JX447441	01_AE
1463	01_AE.VN.2007.NI0255.AB545845	01_AE
151016	01_AE.TH.2006.AA044a_LH19.JX447217	01_AE
159512	01_AE.AU.2010.21830432.KC238065	01_AE
89513	01_AE.CD.2007.CRF01_07CD3458.FR666647	01_AE
151618	01_AE.TH.2006.AA130a06R.JX448302	01_AE
141041	01_AE.VN.2007.3749.JQ617225	01_AE
136086	01_AE.CN.2010.10CNgx1272.JQ028244	01_AE
116774	01_AE.CN.2008.LZ2011.HQ588185	01_AE
89152	01_AE.CN.2007.07CN_HN047.FM251989	01_AE
7126	01_AE.TH.1998.98THZ13.AF368835	01_AE
106244	01_AE.CN.2009.patient_456.HE591033	01_AE
116832	01_AE.CN.2008.GXNN1960.HQ588244	01_AE
141708	01_AE.CN.2010.YN10DH0023.JQ658648	01_AE
101221	01_AE.CZ.-.96713PL10.GQ999099	01_AE
116825	01_AE.CN.2008.GXNN7481.HQ588237	01_AE
119889	01_AE.TH.2007.N268.HQ898631	01_AE
151322	01_AE.TH.2005.AA094b06R.JX447819	01_AE
119544	01_AE.TH.2007.N299.HQ898286	01_AE
130377	01_AE.CZ.-.80293PL7.JN229213	01_AE
151205	01_AE.TH.2007.AA080a03L.JX447599	01_AE
21262	01_AE.SE.1999.99SE_17711.AY165218	01_AE
136216	01_AE.CN.2010.10CNgx1388.JQ028375	01_AE
151454	01_AE.TH.2008.AA110b02R.JX448054	01_AE
141003	01_AE.VN.2007.3711.JQ617187	01_AE
137402	01_AE.VN.2008.IVVI01932.JQ288861	01_AE
98675	01_AE.SE.2003.KER1TB7WoumbpOF.GQ400709	01_AE
119038	01_AE.VN.2009.09_VL790Yi.HQ852885	01_AE
78209	01_AE.VN.2007.07VNHPA219.FJ007216	01_AE
163702	01_AE.MY.2011.11MY1SA791.KC478065	01_AE
102927	01_AE.KH.2009.01_AE_KCT0428200IN.GU289853	01_AE
78041	01_AE.VN.2007.07VNHPA2_239c.FJ007047	01_AE
135620	01_AE.TH.2006.4453.JN885698	01_AE
29538	01_AE.CN.2000.Pingxiang_61.AY635697	01_AE
106568	01_AE.CN.2009.200906_18.HM008209	01_AE
1302	01_AE.VN.2008.O907.AB519478	01_AE
106111	01_AE.CN.2009.patient_27.HE590899	01_AE
47388	01_AE.DK.2003.1182_48_1426_20030225.DQ877815	01_AE
126415	01_AE.TH.2010.IN_SL130.JF928963	01_AE
2263	01_AE.PH.2011.11117952.AB747464	01_AE
119672	01_AE.TH.2007.N304.HQ898414	01_AE
126282	01_AE.TH.2010.IN_0421744.JF928829	01_AE
77945	01_AE.VN.2007.07VNHPE33.FJ006951	01_AE
150859	01_AE.TH.2008.AA016a02R.JX446897	01_AE
136201	01_AE.CN.2010.10CNgx1282.JQ028360	01_AE
150862	01_AE.TH.2006.AA018a02L.JX446906	01_AE
78337	01_AE.VN.2007.07VNHPA494g.FJ007344	01_AE
135496	01_AE.CN.2010.GZ135.JN848897	01_AE
116773	01_AE.CN.2008.LZ2009.HQ588184	01_AE
30428	01_AE.TH.-.ps4.AY692128	01_AE
2247	01_AE.PH.2011.110318824.AB747447	01_AE
151348	01_AE.TH.2007.AA098a08R.JX447875	01_AE
136170	01_AE.CN.2009.09CNgx0292.JQ028329	01_AE
1798	01_AE.JP.2003.C03_5555_5383_1.AB640374	01_AE
78247	01_AE.VN.2007.07VNHPA286ag.FJ007254	01_AE
150789	01_AE.TH.2007.AA008a_LH17.JX446771	01_AE
77969	01_AE.VN.2007.07VNHPC51a.FJ006975	01_AE
78336	01_AE.VN.2007.07VNHPA494a.FJ007343	01_AE
136088	01_AE.CN.2010.10CNgx1287.JQ028246	01_AE
119556	01_AE.TH.2007.N024.HQ898298	01_AE
151439	01_AE.TH.2008.AA108a_LH5.JX448032	01_AE
1380	01_AE.VN.2008.NB54.AB519556	01_AE
78245	01_AE.VN.2007.07VNHPA285.FJ007252	01_AE
79586	01_AE.CN.-.HIV123.FJ236684	01_AE
89167	01_AE.CN.2007.07CN_HN062.FM252004	01_AE
135511	01_AE.CN.2010.GZ244.JN848912	01_AE
136209	01_AE.CN.2010.10CNgx1365.JQ028368	01_AE
62109	01_AE.ES.2007.07SP29_353349.EU255514	01_AE
141004	01_AE.VN.2007.3712.JQ617188	01_AE
1443	01_AE.VN.2007.NI0078.AB545825	01_AE
89172	01_AE.CN.2007.07CN_HN067.FM252009	01_AE
12702	01_AE.CN.2006.06CN_YUN01_18.AM886194	01_AE
106162	01_AE.CN.2009.patient_191.HE590950	01_AE
674	01_AE.JP.-.patient_437.AB356406	01_AE
109410	01_AE.TH.2007.AE_Int_282.HM150860	01_AE
89122	01_AE.CN.2007.07CN_HN013.FM251959	01_AE
106152	01_AE.CN.2009.patient_122.HE590940	01_AE
119874	01_AE.TH.2007.N148.HQ898616	01_AE
1458	01_AE.VN.2007.NI0227.AB545840	01_AE
126413	01_AE.TH.2010.IN_SL128.JF928961	01_AE
99727	01_AE.CN.2006.CNsd05178.GQ443562	01_AE
34479	01_AE.SG.2003.BAA150613.AY870154	01_AE
1398	01_AE.VN.2008.AH24.AB519574	01_AE
78003	01_AE.VN.2007.07VNHPA2_114acg.FJ007009	01_AE
149732	01_AE.SE.2006.EHR-80821.JX300913	01_AE
1440	01_AE.VN.2007.NI0072.AB545822	01_AE
78107	01_AE.VN.2007.07VNHPA3a.FJ007114	01_AE
4046	01_AE.TH.-.GEN12.AF191197	01_AE
7108	01_AE.TH.1998.98THMZ13.AF368817	01_AE
136240	01_AE.CN.2009.09CNgx0060.JQ028400	01_AE
34514	01_AE.SG.2003.BAA161371.AY870189	01_AE
1716	01_AE.JP.2004.C04_51110192_1.AB640292	01_AE
1656	01_AE.JP.2004.C04_51110132_1.AB640232	01_AE
60993	01_AE.TW.2004.2004TW1253.EU164881	01_AE
87697	01_AE.CA.-.BCCFE_HOMER_HIV_INT_3943.FJ813394	01_AE
64701	01_AE.CN.2005.plasma41.EU518331	01_AE
126425	01_AE.TH.2010.IN_SL071.JF928973	01_AE
135473	01_AE.CN.2010.GZ133.JN848874	01_AE
109389	01_AE.TH.2006.AE_Int_130.HM150839	01_AE
151382	01_AE.TH.2005.AA101a_LH20.JX447934	01_AE
119036	01_AE.VN.2008.08_VL788Ui.HQ852883	01_AE
119755	01_AE.TH.2007.N285.HQ898497	01_AE
151232	01_AE.TH.2006.AA083a09L.JX447655	01_AE
151214	01_AE.TH.2007.AA080a09R.JX447608	01_AE
77965	01_AE.VN.2007.07VNHPC42a.FJ006971	01_AE
119730	01_AE.TH.2007.N194.HQ898472	01_AE
116857	01_AE.CN.2008.GXHX7293.HQ588269	01_AE
126349	01_AE.TH.2010.IN_0715567.JF928897	01_AE
96273	01_AE.JP.2004.04JPIB019.GQ332110	01_AE
135510	01_AE.CN.2010.GZ243.JN848911	01_AE
151362	01_AE.TH.2006.AA100b02L.JX447898	01_AE
119503	01_AE.TH.2007.N007.HQ898245	01_AE
151041	01_AE.TH.2007.AA048b08R.JX447252	01_AE
119546	01_AE.TH.2007.N228.HQ898288	01_AE
126426	01_AE.TH.2010.IN_SL072.JF928974	01_AE
119029	01_AE.VN.2008.08_VL778Hi.HQ852876	01_AE
29549	01_AE.CN.2000.Pingxiang_127.AY635708	01_AE
1715	01_AE.JP.2004.C04_51110191_1.AB640291	01_AE
78052	01_AE.VN.2007.07VNHPA2_281t.FJ007058	01_AE
109429	01_AE.TH.2008.AE_Int_381.HM150879	01_AE
119797	01_AE.TH.2007.N159.HQ898539	01_AE
34510	01_AE.SG.2003.BAA157680.AY870185	01_AE
106174	01_AE.CN.2009.patient_227.HE590963	01_AE
1311	01_AE.VN.2008.O916.AB519487	01_AE
61018	01_AE.TW.2005.2005TW5112.EU164906	01_AE
1447	01_AE.VN.2007.NI0115.AB545829	01_AE
151377	01_AE.TH.2005.AA101a_LH5.JX447920	01_AE
78075	01_AE.VN.2007.07VNHPA2_387.FJ007082	01_AE
116861	01_AE.CN.2008.GXNN7478.HQ588273	01_AE
151504	01_AE.TH.2006.AA117b07L.JX448139	01_AE
109409	01_AE.TH.2007.AE_Int_281.HM150859	01_AE
8624	01_AE.TH.1991.CM240.AF447851	01_AE
34489	01_AE.SG.2003.BAA154763.AY870164	01_AE
151512	01_AE.TH.2006.AA117b10R.JX448150	01_AE
50796	01_AE.CZ.-.91520PL1.DQ974890	01_AE
140095	01_AE.CN.2011.19.JQ513256	01_AE
131650	01_AE.PK.2008.M_I_380.JN620508	01_AE
64710	01_AE.CN.2005.plasma53.EU518342	01_AE
141045	01_AE.VN.2007.3753.JQ617229	01_AE
78310	01_AE.VN.2007.07VNHPA406g.FJ007317	01_AE
109431	01_AE.TH.2008.AE_Int_385.HM150881	01_AE
98604	01_AE.SE.2004.G7D0oKdDK8JTkGw.GQ400631	01_AE
151288	01_AE.TH.2007.AA092b08R.JX447774	01_AE
126270	01_AE.CN.2007.BJ07632.JF906693	01_AE
