reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	02_AG	-4775.33760850298
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	C	-4995.291282207935
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4914.056153855252
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	01_AE	-5046.524695576609
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-4924.532794572265
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-5068.988818402442
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	A1	-4969.697569849622
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	D	-5059.650013838256
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	A1	-5034.792128528687
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	A1	-5058.208126324992
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A1	-5023.980360617684
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	A1	-4911.97587468391
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	F1	-5005.49395221985
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	C	-4881.048419153328
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4905.019933916151
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	D	-4947.047057617462
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	D	-4957.657686123313
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	D	-4956.144784909312
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	02_AG	-4993.289690685719
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4941.744742942993
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	A1	-5033.719323023393
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4954.69014827632
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-4873.983674763823
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	D	-5023.766052617975
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-4987.890589952374
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	C	-4979.779054857504
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	A1	-5041.9228001926695
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-5005.472388302769
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-4984.691107907575
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-4864.45349685701
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	C	-4928.707073375208
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	F1	-5019.036111016173
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4916.5866148689975
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	B	-5024.956072152886
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	D	-5034.3166788836215
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	A1	-4748.601336743676
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-4950.6748240372945
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	02_AG	-5032.11168543431
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	D	-4819.08411807926
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	02_AG	-4786.025822655808
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	B	-4937.002456273761
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-4666.918610722211
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4741.225140218834
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	A1	-5022.814104002863
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	02_AG	-5046.552424975383
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	C	-5016.701850004697
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	A1	-4940.8158823521135
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	02_AG	-4876.500740827354
