id	name	noise	window_size	stepping_size	start_pos
0	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	2085
1	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	2285
2	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	2485
3	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	2685
4	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	2885
5	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	3085
6	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	3285
7	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	3485
8	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	3685
9	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	3885
10	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	4085
11	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	4285
12	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	4485
13	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	4685
14	Ref.03_AB.RU.97.KAL153_2.AF193276	0.0	200	200	4885
15	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	2085
16	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	2285
17	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	2485
18	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	2685
19	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	2885
20	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	3085
21	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	3285
22	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	3485
23	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	3685
24	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	3885
25	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	4085
26	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	4285
27	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	4485
28	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	4685
29	Ref.04_cpx.CY.94.94CY032_3.AF049337	0.0	200	200	4885
30	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	2085
31	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	2285
32	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	2485
33	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	2685
34	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	2885
35	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	3085
36	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	3285
37	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	3485
38	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	3685
39	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	3885
40	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	4085
41	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	4285
42	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	4485
43	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	4685
44	Ref.37_cpx.CM.00.00CMNYU926.EF116594	0.0	200	200	4885
45	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	2085
46	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	2285
47	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	2485
48	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	2685
49	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	2885
50	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	3085
51	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	3285
52	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	3485
53	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	3685
54	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	3885
55	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	4085
56	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	4285
57	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	4485
58	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	4685
59	Ref.35_AD.AF.05.05AF026.EF158043	0.0	200	200	4885
60	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	2085
61	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	2285
62	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	2485
63	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	2685
64	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	2885
65	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	3085
66	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	3285
67	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	3485
68	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	3685
69	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	3885
70	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	4085
71	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	4285
72	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	4485
73	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	4685
74	Ref.J.CD.97.J_97DC_KTB147.EF614151	0.0	200	200	4885
75	Ref.10_CD.TZ.96.96TZ_BF061.AF289548	0.0	200	200	2085
76	Ref.10_CD.TZ.96.96TZ_BF061.AF289548	0.0	200	200	2285
