name,length,assignment,support,begin,end,type,pure,pure_support,pure_inner,pure_outer,scan_best_support,scan_assigned_support,scan_assigned_nosupport,scan_best_profile,scan_assigned_profile,crf,crf_support,crf_inner,crf_outer,crfscan_best_support,crfscan_assigned_support,crfscan_assigned_nosupport,crfscan_best_profile,crfscan_assigned_profile,major_id,minor_id
"6128",800,"Check the report",,2884,3684,HIV 1,F1,97.0,9.0,91.0,,,,,,,,,,,,,,,,
"4633",1200,"HIV-1 Subtype G",100.0,3284,4484,HIV 1,G,100.0,,,1.0,0.955,0.045,G,- G,G,7.0,85.0,6.0,,,,,,,
"2191",400,"HIV-1 Subtype B",96.0,3484,3884,HIV 1,B,96.0,53.0,47.0,,,,,,,,,,,,,,,,
"2192",400,"HIV-1 Subtype B",76.0,3684,4084,HIV 1,B,76.0,93.0,6.0,,,,,,,,,,,,,,,,
"2193",400,"HIV-1 Subtype B",93.0,3884,4284,HIV 1,B,93.0,92.0,6.0,,,,,,,,,,,,,,,,
"2259",400,"Check the report",,3084,3484,HIV 1,C,72.0,23.0,74.0,,,,,,,,,,,,,,,,
"2258",400,"Check the report",,2884,3284,HIV 1,B,23.0,5.0,87.0,,,,,,,,,,,,,,,,
"2257",400,"Check the report",,2684,3084,HIV 1,D,71.0,24.0,74.0,,,,,,,,,,,,,,,,
"4637",1200,"HIV-1 CRF 06_CPX",100.0,3284,4484,HIV 1,A1,49.0,,,0.545,0.364,0.591,F1 K A1 G A1 G,- K - G -,06_CPX,100.0,100.0,0.0,1.0,1.0,0.0,06_CPX,06_CPX,,
"2255",400,"Check the report",,2284,2684,HIV 1,B,34.0,0.0,92.0,,,,,,,,,,,,,,,,
"2254",397,"Check the report",,2084,2484,HIV 1,D,20.0,94.0,0.0,,,,,,,,,,,,,,,,
"2253",400,"HIV-1 Subtype J",82.0,4684,5084,HIV 1,J,82.0,45.0,52.0,,,,,,,,,,,,,,,,
"2252",400,"Check the report",,4484,4884,HIV 1,J,90.0,0.0,99.0,,,,,,,,,,,,,,,,
"2251",400,"Check the report",,4284,4684,HIV 1,J,76.0,0.0,100.0,,,,,,,,,,,,,,,,
